Invoice Id,Branch,City,Customer Type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs
1001,A,Yangon,Member,Female,Health and beauty,45.12,7,15.79,331.63,05-01-2026,13:45,Cash,315.84
1002,C,Naypyitaw,Normal,Female,Electronic accessories,62.35,3,9.35,196.4,12-02-2026,10:30,Credit card,187.05
1003,B,Mandalay,Member,Male,Home and lifestyle,95.4,5,23.85,500.85,20-01-2026,19:15,Ewallet,477
1004,A,Yangon,Normal,Male,Sports and travel,22.15,10,11.08,232.58,18-02-2026,11:00,Cash,221.5
1005,C,Naypyitaw,Member,Female,Food and beverages,78.2,2,7.82,164.22,14-01-2026,14:20,Credit card,156.4
1006,B,Mandalay,Normal,Female,Fashion accessories,34.5,8,13.8,289.8,25-02-2026,18:45,Ewallet,276
1007,A,Yangon,Member,Male,Health and beauty,88.1,4,17.62,370.02,08-01-2026,12:10,Cash,352.4
1008,C,Naypyitaw,Normal,Male,Electronic accessories,12.45,9,5.6,117.65,03-02-2026,16:30,Credit card,112.05
1009,B,Mandalay,Member,Female,Home and lifestyle,56.7,6,17.01,357.21,29-01-2026,15:55,Ewallet,340.2
1010,A,Yangon,Normal,Female,Sports and travel,41.25,1,2.06,43.31,11-02-2026,09:20,Cash,41.25
1011,C,Naypyitaw,Member,Male,Food and beverages,99.99,3,15,314.97,02-01-2026,20:10,Credit card,299.97
1012,B,Mandalay,Normal,Male,Fashion accessories,15.5,5,3.88,81.38,09-02-2026,11:45,Ewallet,77.5
1013,A,Yangon,Member,Female,Health and beauty,67.3,8,26.92,565.32,22-01-2026,13:25,Cash,538.4
1014,C,Naypyitaw,Normal,Female,Electronic accessories,82.4,4,16.48,346.08,15-02-2026,14:50,Credit card,329.6
1015,B,Mandalay,Member,Male,Home and lifestyle,25.6,2,2.56,53.76,31-01-2026,17:05,Ewallet,51.2
1016,A,Yangon,Normal,Male,Sports and travel,54.8,7,19.18,402.78,20-02-2026,10:15,Cash,383.6
1017,C,Naypyitaw,Member,Female,Food and beverages,12.9,9,5.81,121.91,07-01-2026,18:30,Credit card,116.1
1018,B,Mandalay,Normal,Female,Fashion accessories,71.2,6,21.36,448.56,14-02-2026,12:40,Ewallet,427.2
1019,A,Yangon,Member,Male,Health and beauty,33.4,3,5.01,105.21,19-01-2026,15:20,Cash,100.2
1020,C,Naypyitaw,Normal,Male,Electronic accessories,90.5,5,22.63,475.13,28-02-2026,11:55,Credit card,452.5
1021,B,Mandalay,Member,Female,Home and lifestyle,44.2,8,17.68,371.28,24-01-2026,09:10,Ewallet,353.6
1022,A,Yangon,Normal,Female,Sports and travel,18.7,4,3.74,78.54,05-02-2026,20:45,Cash,74.8
1023,C,Naypyitaw,Member,Male,Food and beverages,65.9,2,6.59,138.39,11-01-2026,16:15,Credit card,131.8
1024,B,Mandalay,Normal,Male,Fashion accessories,39.1,10,19.55,410.55,22-02-2026,13:50,Ewallet,391
1025,A,Yangon,Member,Female,Health and beauty,82.6,6,24.78,520.38,15-01-2026,10:25,Cash,495.6
1026,C,Naypyitaw,Normal,Female,Electronic accessories,51.3,7,17.96,377.06,19-02-2026,19:40,Credit card,359.1
1027,B,Mandalay,Member,Male,Home and lifestyle,14.8,5,3.7,77.7,04-01-2026,14:05,Ewallet,74
1028,A,Yangon,Normal,Male,Sports and travel,77.5,3,11.63,244.13,01-02-2026,12:35,Cash,232.5
1029,C,Naypyitaw,Member,Female,Food and beverages,92.1,9,41.45,870.35,28-01-2026,17:20,Credit card,828.9
1030,B,Mandalay,Normal,Female,Fashion accessories,26.4,4,5.28,110.88,10-02-2026,11:15,Ewallet,105.6
1031,A,Yangon,Member,Male,Health and beauty,48.9,1,2.45,51.35,13-01-2026,15:50,Cash,48.9
1032,C,Naypyitaw,Normal,Male,Electronic accessories,35.6,8,14.24,299.04,23-02-2026,10:05,Credit card,284.8
1033,B,Mandalay,Member,Female,Home and lifestyle,73.2,5,18.3,384.3,21-01-2026,18:40,Ewallet,366
1034,A,Yangon,Normal,Female,Sports and travel,64.8,2,6.48,136.08,16-02-2026,14:55,Cash,129.6
1035,C,Naypyitaw,Member,Male,Food and beverages,29.4,7,10.29,216.09,30-01-2026,12:20,Credit card,205.8
1036,B,Mandalay,Normal,Male,Fashion accessories,58.7,6,17.61,369.81,07-02-2026,16:10,Ewallet,352.2
1037,A,Yangon,Member,Female,Health and beauty,19.2,10,9.6,201.6,09-01-2026,19:25,Cash,192
1038,C,Naypyitaw,Normal,Female,Electronic accessories,46.8,4,9.36,196.56,27-02-2026,13:15,Credit card,187.2
1039,B,Mandalay,Member,Male,Home and lifestyle,81.5,3,12.23,256.73,26-01-2026,10:45,Ewallet,244.5
1040,A,Yangon,Normal,Male,Sports and travel,37.6,9,16.92,355.32,04-02-2026,11:30,Cash,338.4
